EmployeeId,PositionId,ShiftType,Date,DayOfWeek,Month,IsWeekend,TotalMinutes,Label
2320cb1b-d64f-4486-aabe-9754c12a1d06,B26CADE7-1C59-459B-591E-08DD6540AAFA,6,2026-05-08,6,5,0,240,1
925fe8e4-a2de-433d-8c9d-b07fd34a8c36,F26102A7-0CF1-4812-9605-08DD17656FFB,9,2026-05-08,6,5,0,300,1
d6bb32c2-721c-4e93-b32d-96b031accd42,880B21E2-4D0E-4BC6-960F-08DD17656FFB,4,2026-05-08,6,5,0,300,1
1b96029f-d249-4657-97e1-ce4086f265fc,2D7B6426-B613-481B-960E-08DD17656FFB,2,2026-05-08,6,5,0,360,1
66d45786-61fa-43a9-af9f-7a5341abfc6e,C4CFCA11-7C08-4ADB-9611-08DD17656FFB,6,2026-05-08,6,5,0,240,1
413e6437-7712-4672-8d5f-80a6c94ef119,C7AF5C5C-9D2A-45FA-0AF9-08DD64BFC994,10,2026-05-08,6,5,0,360,1
8d97501c-e7a6-46e6-9882-10ee0dea5a69,B0DBC32C-1BBA-4075-33AE-08DD6DF6DAED,6,2026-05-08,6,5,0,240,1
8d97501c-e7a6-46e6-9882-10ee0dea5a69,B0DBC32C-1BBA-4075-33AE-08DD6DF6DAED,11,2026-05-08,6,5,0,180,1
6548dfd4-e2fb-4d11-8745-1f62d8dd322c,4E1C2EA5-666C-4EBE-5A04-08DD6E503AEC,6,2026-05-08,6,5,0,240,1
6548dfd4-e2fb-4d11-8745-1f62d8dd322c,4E1C2EA5-666C-4EBE-5A04-08DD6E503AEC,11,2026-05-08,6,5,0,180,1
d71b50b4-750e-4644-9786-becc6520c6d7,C7AF5C5C-9D2A-45FA-0AF9-08DD64BFC994,6,2026-05-08,6,5,0,240,1
4da65404-40f7-408c-8831-dec60d86d60b,7828EA1E-332F-44EE-960A-08DD17656FFB,13,2026-05-08,6,5,0,300,1
730acd68-bb73-4257-a670-dc3ab1bb6074,80D1D69A-15BD-4DFE-6AD4-08DD45D8CFE8,6,2026-05-08,6,5,0,240,1
730acd68-bb73-4257-a670-dc3ab1bb6074,80D1D69A-15BD-4DFE-6AD4-08DD45D8CFE8,11,2026-05-08,6,5,0,180,1
57f57d9a-735a-4bcc-afb6-f2799bd738a4,F26102A7-0CF1-4812-9605-08DD17656FFB,2,2026-05-08,6,5,0,360,1
78732633-0af4-4912-9602-d3923d7c10d0,567502D3-D217-4968-5A05-08DD6E503AEC,5,2026-05-07,5,5,0,360,1
23585a8f-5bb9-44d7-a5f9-d7498c60ab2c,78AAEBF5-7E11-4FE5-E305-08DD5898ABA5,14,2026-05-07,5,5,0,360,1
f488e272-24db-42ce-9d36-80a013657223,C7AF5C5C-9D2A-45FA-0AF9-08DD64BFC994,13,2026-05-07,5,5,0,300,1
b8eaaef1-8890-4d24-8c6c-3db23f8812a0,B26CADE7-1C59-459B-591E-08DD6540AAFA,5,2026-05-06,4,5,0,360,1
b5ca6829-6ac9-4e18-96d7-3282ff6f3250,C7AF5C5C-9D2A-45FA-0AF9-08DD64BFC994,4,2026-05-06,4,5,0,300,1
0fac737b-0e61-46db-a27a-52730d65cb9a,567502D3-D217-4968-5A05-08DD6E503AEC,5,2026-05-06,4,5,0,360,1
157e4c9d-980e-4897-ad5f-f4c5c301f195,AF4DB3E1-6DF5-4945-5A06-08DD6E503AEC,6,2026-05-06,4,5,0,240,1
157e4c9d-980e-4897-ad5f-f4c5c301f195,AF4DB3E1-6DF5-4945-5A06-08DD6E503AEC,11,2026-05-06,4,5,0,180,1
730acd68-bb73-4257-a670-dc3ab1bb6074,246E02D7-D14A-46B8-7943-08DD767B8091,6,2026-05-06,4,5,0,240,1
730acd68-bb73-4257-a670-dc3ab1bb6074,246E02D7-D14A-46B8-7943-08DD767B8091,11,2026-05-06,4,5,0,180,1
7e88a351-8bd2-4db4-8d56-1cdf9734e9a7,C7AF5C5C-9D2A-45FA-0AF9-08DD64BFC994,13,2026-05-06,4,5,0,300,1
4d71f5cd-5e03-4e0e-b17d-593586b88b99,78AAEBF5-7E11-4FE5-E305-08DD5898ABA5,4,2026-05-06,4,5,0,300,1
ab577efb-8d05-4666-a51a-6b95edc5ec45,8786356F-5B55-4EA1-591F-08DD6540AAFA,14,2026-05-07,5,5,0,360,1
7afecb62-aa18-4106-a82b-a906fa7e488d,880B21E2-4D0E-4BC6-960F-08DD17656FFB,3,2026-05-09,7,5,1,240,1
c71ec1ec-5e2b-4c33-8c89-de5897a207a6,567502D3-D217-4968-5A05-08DD6E503AEC,5,2026-05-08,6,5,0,360,1
a4ad082b-fd58-4e76-9864-5a0339b700be,F26102A7-0CF1-4812-9605-08DD17656FFB,16,2026-05-09,7,5,1,300,1
7e88a351-8bd2-4db4-8d56-1cdf9734e9a7,DCA73A52-A9EA-4C2A-432A-08DDF9B9011A,22,2026-04-30,5,4,0,180,1
ff7cc517-15bb-4dc9-a941-2902d92fc311,3E1F785D-7233-4302-9607-08DD17656FFB,5,2026-05-06,4,5,0,360,1
ab577efb-8d05-4666-a51a-6b95edc5ec45,EC754F9E-6217-4A0A-960B-08DD17656FFB,5,2026-05-09,7,5,1,360,1
c5ce5a45-2b0a-40ff-a82f-ea5df6501805,7828EA1E-332F-44EE-960A-08DD17656FFB,4,2026-05-10,1,5,1,300,1
b8eaaef1-8890-4d24-8c6c-3db23f8812a0,E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,18,2026-05-10,1,5,1,480,1
ff7cc517-15bb-4dc9-a941-2902d92fc311,246E02D7-D14A-46B8-7943-08DD767B8091,6,2026-05-05,3,5,0,240,1
ff7cc517-15bb-4dc9-a941-2902d92fc311,246E02D7-D14A-46B8-7943-08DD767B8091,11,2026-05-05,3,5,0,180,1
d5900ef2-17fd-42da-b9ea-b20a194fec05,C4CFCA11-7C08-4ADB-9611-08DD17656FFB,4,2026-05-06,4,5,0,300,1
ab577efb-8d05-4666-a51a-6b95edc5ec45,58EB8749-B6DE-44ED-9608-08DD17656FFB,5,2026-05-05,3,5,0,360,1
d5900ef2-17fd-42da-b9ea-b20a194fec05,81BA61FE-FBE1-4943-9609-08DD17656FFB,13,2026-05-05,3,5,0,300,1
10005f55-8589-4836-800d-4b8bba0bf675,52B10290-AC6C-4A72-960C-08DD17656FFB,15,2026-05-07,5,5,0,360,1
4afd5d07-d782-4b98-92cb-eea7ca0104bf,AF4DB3E1-6DF5-4945-5A06-08DD6E503AEC,4,2026-05-05,3,5,0,300,1
10005f55-8589-4836-800d-4b8bba0bf675,8786356F-5B55-4EA1-591F-08DD6540AAFA,13,2026-05-05,3,5,0,300,1
fafe9819-8c58-4398-a1cc-77584270b6ed,B26CADE7-1C59-459B-591E-08DD6540AAFA,14,2026-05-08,6,5,0,360,1
11838d58-5415-42bd-8c7f-3bef4f9db2aa,8786356F-5B55-4EA1-591F-08DD6540AAFA,12,2026-05-04,2,5,0,240,1
b5ca6829-6ac9-4e18-96d7-3282ff6f3250,FF0F4B32-DB6C-4965-960D-08DD17656FFB,6,2026-05-08,6,5,0,240,1
