PositionId,ShiftType,DayOfWeek,Month,IsWeekend,Label
F26102A7-0CF1-4812-9605-08DD17656FFB,8,6,1,True,0
F26102A7-0CF1-4812-9605-08DD17656FFB,9,6,1,True,1
F26102A7-0CF1-4812-9605-08DD17656FFB,10,6,1,True,0
F26102A7-0CF1-4812-9605-08DD17656FFB,11,6,1,True,0
F26102A7-0CF1-4812-9605-08DD17656FFB,12,6,1,True,0
F26102A7-0CF1-4812-9605-08DD17656FFB,13,6,1,True,0
F26102A7-0CF1-4812-9605-08DD17656FFB,14,6,1,True,0
F26102A7-0CF1-4812-9605-08DD17656FFB,15,6,1,True,0
F26102A7-0CF1-4812-9605-08DD17656FFB,16,6,1,True,1
F26102A7-0CF1-4812-9605-08DD17656FFB,17,6,1,True,0
F26102A7-0CF1-4812-9605-08DD17656FFB,18,6,1,True,0
F26102A7-0CF1-4812-9605-08DD17656FFB,19,6,1,True,0
F26102A7-0CF1-4812-9605-08DD17656FFB,20,6,1,True,0
F26102A7-0CF1-4812-9605-08DD17656FFB,21,6,1,True,0
F26102A7-0CF1-4812-9605-08DD17656FFB,22,6,1,True,0
78AAEBF5-7E11-4FE5-E305-08DD5898ABA5,1,4,1,False,0
78AAEBF5-7E11-4FE5-E305-08DD5898ABA5,2,4,1,False,0
78AAEBF5-7E11-4FE5-E305-08DD5898ABA5,3,4,1,False,0
78AAEBF5-7E11-4FE5-E305-08DD5898ABA5,4,4,1,False,0
78AAEBF5-7E11-4FE5-E305-08DD5898ABA5,5,4,1,False,0
78AAEBF5-7E11-4FE5-E305-08DD5898ABA5,6,4,1,False,1
78AAEBF5-7E11-4FE5-E305-08DD5898ABA5,7,4,1,False,0
78AAEBF5-7E11-4FE5-E305-08DD5898ABA5,8,4,1,False,0
78AAEBF5-7E11-4FE5-E305-08DD5898ABA5,9,4,1,False,0
78AAEBF5-7E11-4FE5-E305-08DD5898ABA5,10,4,1,False,0
78AAEBF5-7E11-4FE5-E305-08DD5898ABA5,11,4,1,False,1
78AAEBF5-7E11-4FE5-E305-08DD5898ABA5,12,4,1,False,0
78AAEBF5-7E11-4FE5-E305-08DD5898ABA5,13,4,1,False,0
78AAEBF5-7E11-4FE5-E305-08DD5898ABA5,14,4,1,False,0
78AAEBF5-7E11-4FE5-E305-08DD5898ABA5,15,4,1,False,0
78AAEBF5-7E11-4FE5-E305-08DD5898ABA5,16,4,1,False,0
78AAEBF5-7E11-4FE5-E305-08DD5898ABA5,17,4,1,False,0
78AAEBF5-7E11-4FE5-E305-08DD5898ABA5,18,4,1,False,0
78AAEBF5-7E11-4FE5-E305-08DD5898ABA5,19,4,1,False,0
78AAEBF5-7E11-4FE5-E305-08DD5898ABA5,20,4,1,False,0
78AAEBF5-7E11-4FE5-E305-08DD5898ABA5,21,4,1,False,0
78AAEBF5-7E11-4FE5-E305-08DD5898ABA5,22,4,1,False,0
7877AEAE-27C9-41B0-6A9D-08DD6D33672A,1,3,1,False,0
7877AEAE-27C9-41B0-6A9D-08DD6D33672A,2,3,1,False,1
7877AEAE-27C9-41B0-6A9D-08DD6D33672A,3,3,1,False,0
7877AEAE-27C9-41B0-6A9D-08DD6D33672A,4,3,1,False,0
7877AEAE-27C9-41B0-6A9D-08DD6D33672A,5,3,1,False,0
7877AEAE-27C9-41B0-6A9D-08DD6D33672A,6,3,1,False,0
7877AEAE-27C9-41B0-6A9D-08DD6D33672A,7,3,1,False,0
7877AEAE-27C9-41B0-6A9D-08DD6D33672A,8,3,1,False,0
7877AEAE-27C9-41B0-6A9D-08DD6D33672A,9,3,1,False,0
7877AEAE-27C9-41B0-6A9D-08DD6D33672A,10,3,1,False,0
7877AEAE-27C9-41B0-6A9D-08DD6D33672A,11,3,1,False,0
7877AEAE-27C9-41B0-6A9D-08DD6D33672A,12,3,1,False,0
7877AEAE-27C9-41B0-6A9D-08DD6D33672A,13,3,1,False,0
7877AEAE-27C9-41B0-6A9D-08DD6D33672A,14,3,1,False,0
7877AEAE-27C9-41B0-6A9D-08DD6D33672A,15,3,1,False,0
7877AEAE-27C9-41B0-6A9D-08DD6D33672A,16,3,1,False,0
7877AEAE-27C9-41B0-6A9D-08DD6D33672A,17,3,1,False,0
7877AEAE-27C9-41B0-6A9D-08DD6D33672A,18,3,1,False,0
7877AEAE-27C9-41B0-6A9D-08DD6D33672A,19,3,1,False,0
7877AEAE-27C9-41B0-6A9D-08DD6D33672A,20,3,1,False,0
7877AEAE-27C9-41B0-6A9D-08DD6D33672A,21,3,1,False,0
7877AEAE-27C9-41B0-6A9D-08DD6D33672A,22,3,1,False,0
C4CFCA11-7C08-4ADB-9611-08DD17656FFB,1,5,1,False,0
C4CFCA11-7C08-4ADB-9611-08DD17656FFB,2,5,1,False,0
